E2F2,SMARCE1
E2F2,SMC3
E2F2,SMC4
E2F2,SORL1
E2F2,SPRY2
E2F2,STAG1
E2F2,STK35
E2F2,STMN1
E2F2,STOML2
E2F2,SUV39H1
E2F2,SUZ12
E2F2,TACC3
E2F2,TCP1
E2F2,TMEM53
E2F2,TMPO
E2F2,TRMT12
E2F2,TRMT6
E2F2,TSPAN7
E2F2,TUFT1
E2F2,UBE2S
E2F2,UHRF1
E2F2,UNG
E2F2,USP1
E2F2,UTRN
E2F2,WNT5A
E2F2,WNT9A
E2F2,WRAP73
E2F2,XPO1
E2F4,ACTG1
E2F4,AP1S1
E2F4,APIP
E2F4,ARHGAP11A
E2F4,ARL6IP6
E2F4,ARSJ
E2F4,ATF5
E2F4,AURKB
E2F4,BAP1
E2F4,BARD1
E2F4,BIRC5
E2F4,BMPR1B
E2F4,BRCA1
E2F4,BRD7
E2F4,BROX
E2F4,BUB3
E2F4,CA2
E2F4,CALM1
E2F4,CAMK2B
E2F4,CAPRIN1
E2F4,CBX3
E2F4,CDC37L1
E2F4,CDCA7
E2F4,CENPE
E2F4,CENPM
E2F4,CHCHD7
E2F4,CHRDL1
E2F4,CKS1B
E2F4,CLK2
E2F4,CLTA
E2F4,CNOT10
E2F4,COPS6
E2F4,CSE1L
E2F4,CSRNP1
E2F4,DCTPP1
E2F4,DEK
E2F4,DENR
E2F4,DHX30
E2F4,DHX9
E2F4,DIRAS3
E2F4,DNMT1
E2F4,DRG1
E2F4,DTL
E2F4,EFCAB7
E2F4,EIF4H
E2F4,F3
E2F4,FEN1
E2F4,G6PD
E2F4,GALNT11
E2F4,GINS1
E2F4,GJB2
E2F4,GMNN
E2F4,GON4L
E2F4,GPAA1
E2F4,GPANK1
E2F4,GPR158
E2F4,GTF3C2
E2F4,HAT1
E2F4,HLTF
E2F4,HMMR
E2F4,IGFBP3
E2F4,ITGB3BP
E2F4,KDM6A
E2F4,KIAA1143
E2F4,KIF4A
E2F4,KLHDC3
E2F4,LHX2
E2F4,LRRC4C
E2F4,MAD2L1
E2F4,MAPRE1
E2F4,MCM10
E2F4,MCM3
E2F4,MCM8
E2F4,MELK
E2F4,MEPCE
E2F4,METTL15
E2F4,MKI67
E2F4,MRPL24
E2F4,MRPL49
E2F4,MRTO4
E2F4,MSH2
E2F4,MSH3
E2F4,MSH6
E2F4,MYC
E2F4,MYOZ3
E2F4,MZT1
E2F4,N4BP2L1
E2F4,NCBP2
E2F4,NDC80
E2F4,NEK2
E2F4,NFYA
E2F4,NIPBL
E2F4,NKD2
E2F4,NPY1R
E2F4,NR2C2AP
E2F4,NSF
E2F4,NSFL1C
E2F4,NUP153
E2F4,NUP155
E2F4,OTUD7B
E2F4,PABPC1
E2F4,PCLAF
E2F4,PHYHIPL
E2F4,PLK4
E2F4,PLSCR4
E2F4,POLD1
E2F4,POLE2
E2F4,PPIA
E2F4,PPM1D
E2F4,PRC1
E2F4,PRIM2
E2F4,PRR14L
E2F4,PRRC2C
E2F4,PTBP3
E2F4,PTGS2
E2F4,PTPRB
E2F4,PXMP2
E2F4,RABIF
E2F4,RANBP1
E2F4,RASSF4
E2F4,RBM22
E2F4,RBM28
E2F4,RFC3
E2F4,RFC4
E2F4,RHOBTB1
E2F4,RPL15
E2F4,RPL23A
E2F4,RPL29
E2F4,RPS20
E2F4,RPS4X
E2F4,RRM1
E2F4,RUSC1
E2F4,SAP30L
E2F4,SDC1
E2F4,SENP1
E2F4,SETD2
E2F4,SHB
E2F4,SLC16A2
E2F4,SLC25A20
E2F4,SLC39A14
E2F4,SMAD2
E2F4,SMAD3
E2F4,SMARCA4
E2F4,SMARCB1
E2F4,SMC2
E2F4,SMC4
E2F4,SORL1
E2F4,SPRY2
E2F4,STAM
E2F4,STK35
E2F4,STOML2
E2F4,SUPT4H1
E2F4,SUZ12
E2F4,TACC3
E2F4,TBL2
E2F4,TERT
E2F4,TK1
E2F4,TMEM53
E2F4,TOPBP1
E2F4,TRRAP
E2F4,TSNAX
E2F4,TSPAN7
E2F4,TTK
E2F4,TUFT1
E2F4,UBE2S
E2F4,UHRF1
E2F4,UNG
E2F4,WNT5A
E2F4,WNT9A
E2F4,WRAP73
E2F4,XPO1
E2F5,APIP
E2F5,ARHGAP11A
E2F5,ARL6IP6
E2F5,ARSJ
E2F5,ATF5
E2F5,BAP1
E2F5,BMPR1B
E2F5,BRD7
E2F5,BROX
E2F5,CA2
E2F5,CAPRIN1
E2F5,CBX3
E2F5,CDCA7
E2F5,CENPM
E2F5,CHRDL1
E2F5,CLK2
E2F5,CLTA
E2F5,CNOT10
E2F5,COPS6
